Location,x,t,nKx
Japan,85,1987,738029
Japan,90,1987,215113
Japan,95,1987,42016
Japan,100,1987,3781
Japan,0,1988,6805293
Japan,5,1988,7574691
Japan,10,1988,9251960
Japan,15,1988,9675993
Japan,20,1988,8565942
Japan,25,1988,7936745
Japan,30,1988,8021957
Japan,35,1988,10261433
Japan,40,1988,9582456
Japan,45,1988,8856447
Japan,50,1988,8192171
Japan,55,1988,7501966
Japan,60,1988,6398955
Japan,65,1988,4678819
Japan,70,1988,3778506
Japan,75,1988,2937956
Japan,80,1988,1700270
Japan,85,1988,789790
Japan,90,1988,236262
Japan,95,1988,46324
Japan,100,1988,4368
Japan,0,1989,6634874
Japan,5,1989,7364721
Japan,10,1989,8850820
Japan,15,1989,9872027
Japan,20,1989,8721575
Japan,25,1989,8033939
Japan,30,1989,7917114
Japan,35,1989,9498092
Japan,40,1989,10148448
Japan,45,1989,9111198
Japan,50,1989,8131113
Japan,55,1989,7631305
Japan,60,1989,6634600
Japan,65,1989,4940043
Japan,70,1989,3794983
Japan,75,1989,3032297
Japan,80,1989,1805130
Japan,85,1989,833949
Japan,90,1989,258483
Japan,95,1989,50889
Japan,100,1989,5048
Japan,0,1990,6440954
Japan,5,1990,7192468
Japan,10,1990,8474096
Japan,15,1990,9953276
Japan,20,1990,8850328
Japan,25,1990,8200145
Japan,30,1990,7833893
Japan,35,1990,8890986
Japan,40,1990,10704819
Japan,45,1990,9095504
Japan,50,1990,8135620
Japan,55,1990,7762991
Japan,60,1990,6814555
Japan,65,1990,5214638
Japan,70,1990,3869128
Japan,75,1990,3115291
Japan,80,1990,1918631
Japan,85,1990,874312
Japan,90,1990,283017
Japan,95,1990,55897
Japan,100,1990,5772
Japan,0,1991,6283816
Japan,5,1991,7041148
Japan,10,1991,8132257
Japan,15,1991,9881241
Japan,20,1991,9190033
Japan,25,1991,8210034
Japan,30,1991,7782176
Japan,35,1991,8495862
Japan,40,1991,11067738
Japan,45,1991,8852523
Japan,50,1991,8277672
Japan,55,1991,7898404
Japan,60,1991,6957806
Japan,65,1991,5508134
Japan,70,1991,3985290
Japan,75,1991,3185231
Japan,80,1991,2033736
Japan,85,1991,912688
Japan,90,1991,310168
Japan,95,1991,61622
Japan,100,1991,6414
Japan,0,1992,6159109
Japan,5,1992,6907624
Japan,10,1992,7824485
Japan,15,1992,9666702
Japan,20,1992,9524978
Japan,25,1992,8265196
Japan,30,1992,7817185
Japan,35,1992,8168254
Japan,40,1992,10884629
Japan,45,1992,8957561
Japan,50,1992,8487352
Japan,55,1992,7993868
Japan,60,1992,7096882
Japan,65,1992,5814926
Japan,70,1992,4117135
Japan,75,1992,3234789
Japan,80,1992,2144119
Japan,85,1992,965674
Japan,90,1992,338461
Japan,95,1992,68639
Japan,100,1992,7126
Japan,0,1993,6037581
Japan,5,1993,6772651
Japan,10,1993,7566419
Japan,15,1993,9326043
Japan,20,1993,9699817
Japan,25,1993,8499932
Japan,30,1993,7891796
Japan,35,1993,7952822
Japan,40,1993,10225461
Japan,45,1993,9454461
Japan,50,1993,8737863
Japan,55,1993,8005589
Japan,60,1993,7235923
Japan,65,1993,6081674
Japan,70,1993,4307283
Japan,75,1993,3261259
Japan,80,1993,2237863
Japan,85,1993,1035458
Japan,90,1993,365202
Japan,95,1993,76469
Japan,100,1993,8010
Japan,0,1994,5974156
Japan,5,1994,6603889
Japan,10,1994,7356944
Japan,15,1994,8923768
Japan,20,1994,9895478
Japan,25,1994,8656103
Japan,30,1994,7992769
Japan,35,1994,7852828
Japan,40,1994,9462106
Japan,45,1994,10028602
Japan,50,1994,8986935
Japan,55,1994,7951614
Japan,60,1994,7366418
Japan,65,1994,6304935
Japan,70,1994,4553249
Japan,75,1994,3285785
Japan,80,1994,2324919
Japan,85,1994,1114816
Japan,90,1994,389786
Japan,95,1994,85080
Japan,100,1994,9088
Japan,0,1995,5958206
Japan,5,1995,6411956
Japan,10,1995,7186048
Japan,15,1995,8545641
Japan,20,1995,9975517
Japan,25,1995,8783535
Japan,30,1995,8158970
